heading,description
Police say can’t rule out Maoist role in BJP worker’s killing,"Birjhu Taram (53) from Sarkheda village was shot dead on Friday when he was heading to a Durga temple, police said."
"Shah at police memorial: Govt made strict laws, Northeast and J&K are now peaceful","He said whether it is to combat terrorists, stop crime, maintain law and order while facing a crowd, protect citizens during disasters and accidents or be on the front line during difficult times such as the COVID-19 pandemic, police personnel have proved themselves in every situation."
"Dubey complains against Mahua to Lokpal, she hits back","Moitra, whose party has been quiet on the issue, remained combative and claimed that the charges had been levelled at the “behest of businessman Gautam Adani’s group”."
"TRIFED chairman suspends MD, Ministry declares order ‘null and void’","The suspension order issued on Thursday (October 19) was signed by Rathwa. Asked about the development, the TRIFED chairman declined to make any comment “at this stage”. “Final decision will be taken in the board meeting on October 27,” he said."
"65 per cent fall in incidents of terrorism, Left Wing Extremism and insurgency in the Northeast under Modi govt: Amit Shah",Shah said internal as well as border security of any country is not possible without a vigilant police system.
"Following Galwan clashes, China ramped up troop presence, infra along LAC in 2022, says Pentagon","No progress in talks so far, both sides fear losing perceived advantage: Report"
‘Poachers prefer full moon’: Goa Forest Dept orders night vigils after leopard deaths,Forest Department in Goa has directed deputy conservator of forests (DCFs) in all divisions of the state to prepare a comprehensive protection plan to keep poachers at bay.
Venkaiah Naidu nominated jury member of Gandhi Peace Prize,"Union Culture Minister G Kishan Reddy sent a letter to Naidu in this regard, as per Ministry of Culture officials."
"Dry summer spell led to J&K power crisis, efforts on to address it: UT administration","J&K has a requirement of about 2,600 MW of electricity and the administration is supplying approximately 1,400 MW besides purchasing 700 MW from the National Power Exchange."
"After initial hiccup, ISRO’s Gaganyaan mission safety test flight successful; crew module touches down",The countdown for the launch of ISRO’s Flight Test Vehicle Abort Mission (TV-D1) had entered the final second for lift-off when a stream of smoke was observed at the base of the newly developed rocket.
"US, UK back Canada on diplomatic presence, ask India to cooperate in Nijjar investigation","No immediate response from Delhi, day after it cited Vienna treaty for parity action"
"17 years after getting Indian citizenship, Pak-origin man arrested in Gujarat for ‘spying’","The ATS alleged that Maheshwari helped Pakistani agents access an Indian SIM card, which they used to hack the phones of Indian defence personnel's wards in Army schools."
Mahua’s lawyer withdraws from case as Delhi HC says he played role of ‘mediator’,Senior advocate Gopal Sankaranarayanan withdrew himself from the matter after advocate Jai Anant Dehadrai informed the High Court he had been contacted by Sankaranarayanan over phone Thursday night and asked to withdraw his CBI complaint against Moitra.
"Baghel govt of scams and mafias, says Thakur","Assembly polls will be held in Chhattisgarh in two phases on November 7 and 17, while votes will be counted on December 3."
NREGS funds for Bengal after Centre satisfied on transparency: Union Minister Giriraj Singh,"Referring to the TMC delegation that came to meet Minister of State for Rural Development Sadhvi Niranjan Jyoti on October 3, Singh said their purpose was not to meet the minister but to create ruckus."
"BJP worker murdered in Chhattisgarh; ‘targeted for worshipping Durga’, says party","Birjhu Taram was found dead near his residence with multiple wounds on his body. While witnesses said he was shot dead around 7.30 pm when he was out for a walk, the police are yet to confirm how he died."
Summons to Mahua Moitra: LS panel to decide after Oct 26,"The panel will examine the evidence and then decide who else to summon for examination, The Indian Express has learnt."
Have to unstuck the stuck: SC concern on  Govt selectively clearing Collegium picks,"A three-judge bench of Justices Sanjay Kishan Kaul, Sudhanshu Dhulia and Manoj Misra said it leads to seniority issues, when some names from one Collegium resolution are notified and some are held back."
Low-pressure system in Arabian Sea set to intensify into cyclonic storm: IMD,"This would be the second cyclonic storm in the Arabian Sea this year. It will be called 'Tej', according to a formula followed for naming cyclones in the Indian Ocean Region."
"Indian man wins jackpot in UAE, will get monthly Rs 5.5 lakh for 25 years","With this win, Magesh's priority is to give back to the community and support those in need."
India’s actions seeking diplomatic parity ‘consistent with Vienna Convention’: MEA refutes Canada’s charges,"On Thursday, Canadian Foreign Minister Melaine Joly said they have withdrawn 41 diplomats and their family members from India, a month after New Delhi asked Ottawa to reduce its diplomatic staff in the country amid a chill in diplomatic ties."
"Tripura Police gears up preparation for Durga Puja, CCTV cameras, check points set up around Agartala city","Speaking about security measures, West district superintendent of police Kiran Kumar said that they have visited various puja pandals and provided guidance to the organizers about safety and security measures and crowd management inside and outside the pandals."
Electricity restored in Chhattisgarh village 20 years after Naxalites cut power,"In Naxal-affected Sukma district, 142 villages still have no electricity. A government official says they plan to fix this soon."
